,Column Name,Correlation
1201,artist | daft_punk,0.02289700337898066
3315,artist | morgan_wallen,0.022713645238540758
3162,artist | meduza,0.02265360448801296
663,artist | bebe_rexha,0.02256605604784382
4338,artist | sia,0.02249337741791715
1296,artist | deep_jandu,0.02247610702535202
5024,artist | tv_girl,0.02235950265907803
1199,artist | daddy_yankee,0.022354345350789534
4050,artist | roy_woods,0.022343307916646654
5321,artist | young_thug,0.022305054722796244
4567,artist | sukhbir,0.021973876948248573
1471,artist | duki,0.02181023892199498
4122,artist | saindhavi,0.021717070408371904
2402,artist | joji,0.02164104677250006
5250,artist | wizkid,0.021500410023961494
4561,artist | suga,0.02145911574541205
3268,artist | mitski,0.02135395846761477
4544,artist | stray_kids,0.021198075058742227
3719,artist | pharrell_williams,0.02116472929670961
1116,artist | coldplay,0.021137884967238528
3331,artist | mr,0.021133263707185056
3176,artist | melanie_martinez,0.02074496182615423
2260,artist | jason_derulo,0.020634247206222193
4801,artist | the_jackson_5,0.020577837001917853
4038,artist | rosalía,0.0205692023683946
4236,artist | selena_gomez,0.020371390420957015
3845,artist | queen,0.020298841223323434
2754,artist | league_of_legends,0.02029238765478262
2125,artist | ikka,0.02016749245317965
1276,artist | de_la_ghetto,0.020126297276613875
1238,artist | darci,0.02005616376274026
1610,artist | estelle,0.020049137540036316
195,artist | _yandel,0.02002383185434804
5245,artist | wisin_,0.02002383185434804
3072,artist | marshmello,0.01996069210560385
656,artist | beach_weather,0.019913661978356156
899,artist | buscabulla,0.01986914584583572
422,artist | andra_day,0.019848874301220124
1085,artist | clairo,0.019810458116478198
2955,artist | lyanno,0.019805501229891196
877,artist | brray,0.019805501229891196
1886,artist | gnarls_barkley,0.0197026175691408
1836,artist | george_ezra,0.01963945657557148
793,artist | bob,0.01959244726093576
1195,artist | dababy,0.01956564116798397
1874,artist | giveon,0.019560243055470657
687,artist | benny_dayal,0.019377292210508903
1961,artist | hamsika_iyer,0.01932128654692881
3010,artist | maluma,0.019315093952967332
932,artist | camila_cabello,0.019266734234956263
4015,artist | robin_thicke,0.019234731607456375
1052,artist | chris_jedi,0.019229989705361997
69,artist | _dre,0.019173096437618324
5346,artist | zach_bryan,0.01913090100257033
3006,artist | maldy,0.019029053836135585
474,artist | anuel_aa,0.018999014225151076
2604,artist | khalid,0.018969483012384922
926,artist | calum_scott,0.01891360190852863
1863,artist | ginuwine,0.018902203789931366
2837,artist | lisa_mishra,0.0188815476293254
907,artist | byor,0.018878453727789082
2788,artist | lewis_capaldi,0.018878453727789037
3647,artist | panic,0.01879349981117449
43,artist | _at_the_disco,0.01879349981117449
3364,artist | myke_towers,0.01874819099546209
499,artist | arcane,0.01874614223966221
245,artist | adele,0.018723924595460153
5249,artist | wiz_khalifa,0.018698759720949077
3225,artist | mika_singh,0.01869745399347605
4806,artist | the_killers,0.01868441727432054
1165,artist | creedence_clearwater_revival,0.018642735170057375
3824,artist | priya_saraiya,0.01862072378922489
103,artist | _lennox,0.01855394922918088
5377,artist | zion_,0.01855394922918088
3466,artist | nicki_minaj,0.018541435453021497
4271,artist | shakira,0.018479217098599714
2939,artist | luke_combs,0.018219484936309486
5500,track_genre|reggaeton,0.01815022753503188
4840,artist | the_police,0.01807072000214309
2915,artist | luar_la_l,0.018043567605963776
2749,artist | le_sserafim,0.0179662884849871
1143,artist | coolio,0.0177985199868093
4829,artist | the_offspring,0.017714663054354384
3434,artist | nelly_furtado,0.01771380128489742
1330,artist | devi_sri_prasad,0.01762283957640872
2479,artist | julieta_venegas,0.017535118210910826
1305,artist | deftones,0.017490592333787924
1259,artist | david_guetta,0.017475651193503278
1660,artist | farruko,0.01745962458655038
3637,artist | pablo_pesadilla,0.017446182037341572
1749,artist | fran_c,0.017446182037341572
3468,artist | nickoog_clk,0.017446182037341572
3772,artist | polimá_westcoast,0.017446182037341572
1959,artist | halsey,0.017370652557886508
2998,artist | majid_jordan,0.017344327749551018
2890,artist | lost_frequencies,0.017291309122581526
1437,artist | dr,0.01703102801889224
5352,artist | zahrah_s_khan,0.016863132797603108
5447,track_genre|electro,0.016861911962972695
2234,artist | james_carter,0.016801207699223143
304,artist | akull,0.01677615522687902
1768,artist | free_nationals,0.01672444637047052
5437,track_genre|country,0.01671352367422673
4395,artist | skrillex,0.016665090410001717
913,artist | cafuné,0.01665312031121733
4225,artist | sech,0.016597987403420215
2369,artist | joel_adams,0.016586284117980556
4993,artist | train,0.016563100823469974
4601,artist | surya_ragunaathan,0.01656310082346996
4645,artist | tame_impala,0.01656310082346988
823,artist | bootie_brown,0.01656310082346988
3320,artist | mother_mother,0.01651295698605299
4888,artist | the_walters,0.016466138971048257
623,artist | bailey_zimmerman,0.016424127084205244
2922,artist | luciano,0.016227576087861816
4623,artist | system_of_a_down,0.016209174994688585
755,artist | black_pumas,0.016148715279339334
3429,artist | neil_frances,0.016126203486174023
4237,artist | selena_gomez_,0.016103053538403113
172,artist | _the_scene,0.016103053538403113
2279,artist | jay,0.016069179861248402
2965,artist | mac_demarco,0.016025999799963678
1740,artist | foster_the_people,0.015970861901411795
1423,artist | don_omar,0.015947151797590316
2706,artist | labrinth,0.015944945571834727
2344,artist | jid,0.01587540349020872
3048,artist | maria_becerra,0.01587270668468869
574,artist | ava_max,0.015815144273309916
1933,artist | gunna,0.01578197007732926
3069,artist | maroon_5,0.01577578570407131
4919,artist | tiago_pzk,0.015685104328721177
647,artist | baynk,0.015660950310889016
4326,artist | shouse,0.015648089991116148
4485,artist | sports,0.015647455192209885
3766,artist | pnau,0.015585076915509987
577,artist | aventura,0.015585076915509945
4274,artist | shalmali_kholgade,0.015570778639752316
5013,artist | troye_sivan,0.015529768005570977
2341,artist | jhay_cortez,0.01545547990055937
880,artist | bruce_springsteen,0.01545169533698994
5129,artist | vijay_yesudas,0.015270274217918729
730,artist | bill_withers,0.015248504527105675
2973,artist | macy_gray,0.01513767462687252
3038,artist | marciano_cantero,0.015129981634837983
1878,artist | glass_animals,0.015079599825235854
2290,artist | jaymes_young,0.014995465846704817
5280,artist | xxxtentacion,0.014976753687936512
665,artist | becky_hill,0.014957875350533112
3063,artist | mark_ronson,0.014910882110703672
1523,artist | el_alfa,0.014847384922127073
2745,artist | lazza,0.014846132113061019
4649,artist | tanishk_bagchi,0.014746060190153648
2607,artist | khea,0.014735399192936411
3532,artist | noriel,0.014735399192936406
5014,artist | trueno,0.014735399192936406
3279,artist | mkto,0.014735399192936387
4565,artist | sukh,0.014472846530267532
1495,artist | e_muzical_doctorz,0.014472846530267532
4979,artist | topic,0.01446014658158996
30,artist | 5_seconds_of_summer,0.014445434735292409
3489,artist | nile_rodgers,0.01434618969717955
2289,artist | jay_wheeler,0.014343126002096432
3945,artist | rema,0.014338595051474372
1341,artist | dhvani_bhanushali,0.014291922546056468
653,artist | beach_bunny,0.014233418378928437
300,artist | aklo,0.014216291449268162
341,artist | ali,0.014216291449268162
3083,artist | marvin_gaye,0.014207334918479435
5316,artist | yot_club,0.014157801170237983
5266,artist | wyclef_jean,0.014157801170237948
4362,artist | silk_sonic,0.014157801170237886
3632,artist | paak,0.014157801170237886
421,artist | anderson_,0.014157801170237886
4352,artist | sigala,0.014128761016775236
1837,artist | george_harrison,0.014119049757426632
3973,artist | ricky_montgomery,0.014110191563240957
3863,artist | radiohead,0.014107117938878401
1234,artist | danny_ocean,0.01409205520292127
3566,artist | of_monsters_and_men,0.014063975267614047
4545,artist | stromae,0.014051843215527092
4663,artist | tate_mcrae,0.014025556560035835
690,artist | benson_boone,0.014024261853834772
374,artist | alyssa_mendonsa,0.013818197375494091
1393,artist | dj_luian,0.013764695792822017
3013,artist | mambo_kingz,0.013764695792822017
3638,artist | padmalatha,0.01375269736143207
4798,artist | the_internet,0.013734348030559076
2568,artist | kaytranada,0.013734348030559076
3761,artist | plaza,0.013728153619280405
1105,artist | coco_,0.01372815361928038
4656,artist | tara_carosielli,0.01372815361928038
49,artist | _breezy,0.01372815361928038
5106,artist | veronika_redd,0.01372459164276118
514,artist | ark_patrol,0.01372459164276118
1542,artist | ella_henderson,0.01366622470605948
4821,artist | the_marías,0.013641159457315958
4272,artist | shakthisree_gopalan,0.013608165537588921
3199,artist | mgmt,0.013574976190117298
4216,artist | seafret,0.013492392702690065
2794,artist | liana_flores,0.013416246757961046
316,artist | alejo,0.013364622970036273
4009,artist | robi,0.013364622970036273
2370,artist | joel_corry,0.013343702068252259
4849,artist | the_rare_occasions,0.013309600512150046
4986,artist | toto,0.013309600512150037
4785,artist | the_goo_goo_dolls,0.013309600512150027
1024,artist | cheriimoya,0.013309600512150018
4351,artist | sierra_kidd,0.013309600512150018
1352,artist | dijon,0.013255206640531132
1763,artist | franz_ferdinand,0.013251788634559017
840,artist | bradley_cooper,0.013251270804651051
3321,artist | mothica,0.013244041287268624
3936,artist | regard,0.013228525940069057
2220,artist | jaideep_sahni,0.013209489875103774
602,artist | baby_rasta,0.013189723994186393
3748,artist | piso_21,0.013189723994186348
290,artist | ajay,0.013135083662388504
3467,artist | nicki_nicole,0.013085554449393166
